148133;1;Водитель 50/50  Санкт- Петербург;Санкт-Петербург;NULL
76107;2;водитель на личном авто;Москва;NULL
76599;2;Водитель на нашем авто;Москва;NULL
77009;2;Водитель на авто компании;Москва;NULL
77011;2;Водитель на личном авто;Москва;NULL
77322;1;Водитель доставки на нашем авто;Москва;"водитель на нашем авто<br />график работы минимальный  2/2 12, так же возможен график 5/2;6/1<br />оплата 2 раза в месяц, ЗП  25 т.р. /60 т.р."
260041;2;Водитель на личном авто;Москва;NULL
113646;2;Водитель на авто компании;Москва;NULL
112869;2;"Водитель на авто компании ";Москва;NULL
114243;2;водитель на личном авто;Москва;NULL
150448;2;Водитель автомобиля (спецтехника) х2;Санкт-Петербург;"<p><strong>Обязанности:</strong></p> <ul> <li>управление транспортными средствами: легковые машины,<strong> </strong>спецтехника,<span> </span>автобусы (категории B,C,D);</li> <li>наличие<span>&nbsp;</span>категории AIII будет преимуществом.<strong></strong></li> </ul> <p><strong>Требования:</strong></p> <ul> <li>образование среднее, среднее-специальное, высшее;</li> <li>опыт работы от 3-х лет;</li> <li>обязательно&nbsp;наличие водительских прав категории B, C, D;</li> <li>исполнительность, ответственность, умение работать в команде, стрессоустойчивость.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>график 5\2 (с декабря по март возможен сменный график работ);</li> <li>оклад + ежемесячная премия;</li> <li>оформление по ТК РФ;</li> <li>ДМС, включая стоматологию (после испытательного срока);</li> <li>предоставляется спецодежда;</li> <li>корпоративная развозка&nbsp; от/до ст. м. Московская/Авиагородок, /п. Сиверский/Гатчина.</li> </ul> <p>______________________________________________________________________</p> <p><strong>Внимание!</strong><span>&nbsp;</span>В связи с проверкой государственных органов процесс трудоустройства и получения пропуска на контролируемую зону аэропорта может занимать<span>&nbsp;</span><strong>от 6 до 8 недель.</strong></p> <p><strong>Срок рассмотрения резюме - 14 календарных дней.</strong>&nbsp;Как правило, мы свяжемся с Вами раньше, но если Вы не получили положительного ответа на отклик после 14 дней, значит, пока мы не готовы сделать Вам предложение о работе.</p> <p>Ваше резюме будет сохранено в нашей базе и, в случае появления подходящей вакансии, мы обязательно свяжемся с Вами по указанному телефону или электронной почте.</p>"
156526;4;Водитель экспедитор VIP доставки 1/ Водитель;Санкт-Петербург;NULL
39833;2;Водитель для партнеров 2412;Москва;NULL
42133;2;водитель - кладовщик;Москва;2 человека
113282;2;"Водитель на авто компании ";Москва;"<p>График работы 5/2, 4/3 на авто компании, бензин оплачивает ресторан&nbsp;</p> <p>ЗП: 45 000-50 000&nbsp;</p> <p>Гражданство: РФ (строго)&nbsp;</p> <p>Стаж вождения от 3-х лет&nbsp;</p> <p>Возраст от 25 лет&nbsp;</p> <p>Свободное владение русским языком&nbsp;</p>"
156554;2;Водитель на легковом автомобиле СПБ 1/ Водитель;Санкт-Петербург;NULL
156555;2;Водитель на легковом автомобиле СПБ 2/ Водитель;Санкт-Петербург;NULL
156556;1;Водитель на легковом автомобиле СПБ 3/ Водитель;Санкт-Петербург;NULL
50951;1;Водитель комфорт Владыкино;Москва;NULL
156559;2;Водитель-экспедитор кат.В,С,Е СПБ 1/ Водитель;Санкт-Петербург;NULL
156561;2;Водитель экспедитор VIP доставки СПБ 1/Водитель;Санкт-Петербург;NULL
156563;2;Водитель экспедитор VIP доставки СПБ 2/Водитель;Санкт-Петербург;NULL
293004;2;Водитель на своем авто;Москва;<p>Требуется водитель на своем авто. Требования : возраст от 21 года,стаж вождения от двух лет.</p>
157749;2;Водитель автомобиля  (автокрана);Санкт-Петербург;"<p><strong>Обязанности:</strong></p> <ul> <li><span>управление</span><span> </span><span>транспортными</span><span> </span><span>средствами</span><span> </span><span>категории</span><span> </span><span>&laquo;B&raquo;, &laquo;C&raquo;.</span></li> </ul> <p><strong>Требования:</strong></p> <ul> <li>среднее общее образование (11 классов);</li> <li><span>опыт </span><span>работы</span><span> </span><span>на</span><span> </span><span>автокране</span><span> </span><span>от</span><span> 3-х </span><span>лет</span>;</li> <li><span>удостоверение</span><span> </span><span>машиниста</span><span> </span><span>автомобильного</span><span> </span><span></span><span>крана </span><span>не</span><span> </span><span>ниже</span><span> 6-го </span><span>разряда;</span></li> <li><span>опыт</span><span> </span><span>безаварийного</span><span> </span><span>вождения</span><span> </span><span>на</span><span> </span><span>автотранспорте</span><span> </span><span>категорий</span><span> </span><span>&laquo;B&raquo;, &laquo;C&raquo;;</span></li> <li><span>наличие 2-ой </span><span>группы</span><span> </span><span>по</span><span> </span><span>электробезопа</span><span>сности будет вашим преимуществом;</span></li> <li><span>уравновешенность</span><span>, </span><span>стрессоустойчивость</span><span>, </span><span>трудолюбие.</span></li> </ul> <p><strong>Условия:</strong></p> <ul> <li>пятидневная рабочая неделя с 08:30 до 17:30;</li> <li>оклад + ежемесячная премия + <span> </span><span>доплата</span><span> </span><span>за</span><span> </span><span>вредные</span><span> </span><span>условия</span><span> </span><span>труда</span>;</li> <li>оформление по ТК РФ;</li> <li>ДМС, включая стоматологию (после испытательного срока);</li> <li>предоставляется спецодежда;</li> <li>корпоративная развозка от/до ст.м. Московская/Авиагородок.</li> </ul> <div> <p>______________________________________________________________________</p> <p><strong>Внимание!</strong> В связи с проверкой государственных органов процесс трудоустройства и получения пропуска на контролируемую зону аэропорта может занимать <strong>от 6 до 8 недель. </strong></p> <p><strong>Срок рассмотрения резюме - 14 календарных дней.</strong>&nbsp;Как правило, мы свяжемся с Вами раньше, но если Вы не получили положительного ответа на отклик после 14 дней, значит, пока мы не готовы сделать Вам предложение о работе.</p> <p>Ваше резюме будет сохранено в нашей базе и, в случае появления подходящей вакансии, мы обязательно свяжемся с Вами по указанному телефону или электронной почте.</p> </div>"
